iter	Passed	Remaining
0	5	5608
1	10	5048
2	15	5125
3	20	5143
4	25	5156
5	30	5079
6	35	4999
7	40	4967
8	46	5074
9	50	5028
10	55	4992
11	60	4958
12	66	5012
13	70	4968
14	75	4926
15	80	4937
16	85	4917
17	90	4922
18	94	4896
19	99	4873
20	104	4852
21	108	4839
22	113	4822
23	118	4801
24	122	4792
25	127	4776
26	132	4760
27	136	4755
28	142	4761
29	147	4764
30	152	4773
31	158	4789
32	163	4779
33	167	4767
34	172	4756
35	177	4750
36	182	4740
37	187	4734
38	191	4714
39	195	4695
40	200	4678
41	204	4657
42	208	4641
43	212	4622
44	217	4613
45	221	4595
46	225	4576
47	229	4561
48	234	4545
49	238	4528
50	242	4518
51	247	4505
52	251	4490
53	255	4476
54	259	4462
55	263	4450
56	268	4436
57	272	4424
58	276	4411
59	280	4396
60	285	4387
61	289	4376
62	293	4366
63	297	4354
64	301	4342
65	306	4330
66	310	4321
67	314	4312
68	318	4301
69	323	4293
70	328	4293
71	332	4283
72	336	4272
73	340	4262
74	345	4256
75	349	4248
76	353	4240
77	357	4231
78	362	4226
79	366	4219
80	371	4209
81	375	4200
82	379	4194
83	383	4185
84	388	4177
85	392	4168
86	396	4160
87	401	4158
88	405	4149
89	409	4141
90	413	4133
91	417	4124
92	422	4117
93	426	4109
94	430	4102
95	434	4094
96	439	4087
97	443	4079
98	447	4073
99	451	4066
100	455	4058
101	460	4051
102	464	4044
103	468	4036
104	472	4030
105	476	4022
106	481	4014
107	485	4007
108	489	4000
109	493	3994
110	498	3988
111	502	3981
112	506	3972
113	510	3965
114	514	3957
115	518	3951
116	522	3945
117	526	3939
118	531	3932
119	535	3925
120	539	3919
121	543	3913
122	547	3907
123	552	3900
124	556	3894
125	560	3889
126	565	3883
127	569	3879
128	573	3873
129	578	3869
130	582	3862
131	586	3856
132	590	3850
133	594	3844
134	599	3838
135	603	3832
136	607	3826
137	611	3820
138	615	3813
139	619	3807
140	624	3802
141	628	3796
142	632	3791
143	636	3784
144	640	3778
145	644	3772
146	649	3766
147	653	3761
148	657	3754
149	661	3749
150	665	3743
151	670	3739
152	674	3734
153	678	3728
154	682	3723
155	687	3717
156	691	3711
157	695	3706
158	699	3700
159	703	3695
160	708	3690
161	712	3685
162	716	3678
163	720	3673
164	724	3667
165	728	3662
166	733	3657
167	737	3651
168	741	3646
169	745	3640
170	749	3634
171	753	3629
172	758	3624
173	762	3617
174	766	3612
175	770	3607
176	774	3601
177	778	3596
178	782	3590
179	787	3585
180	791	3579
181	795	3573
182	799	3569
183	803	3564
184	807	3559
185	812	3554
186	816	3548
187	820	3543
188	824	3538
189	828	3532
190	832	3528
191	837	3523
192	841	3517
193	845	3512
194	849	3507
195	853	3501
196	857	3496
197	862	3491
198	866	3486
199	870	3481
200	874	3476
201	878	3471
202	883	3467
203	887	3462
204	891	3457
205	895	3451
206	899	3446
207	903	3441
208	908	3436
209	912	3432
210	916	3427
211	920	3422
212	924	3417
213	928	3411
214	933	3407
215	937	3402
216	941	3397
217	945	3393
218	950	3388
219	954	3383
220	958	3378
221	962	3373
222	966	3367
223	970	3363
224	974	3357
225	978	3352
226	983	3348
227	987	3343
228	991	3338
229	995	3333
230	999	3328
