,Görüş,Durum,new_text
0," Cumhuriyetin 100. Yılı x Filenin Sultanları

 Avrupa Şampiyonası
 Milletler Ligi
 Dünya Kupası
 Dünya 1 numarası
 22 Maçlık Galibiyet Serisi
 Olimpiyat Bileti

#FileninSultanları",1,cumhuriyetin 100 yılı x filenin sultanları avrupa şampiyonası milletler ligi dünya kupası dünya 1 numarası 22 maçlık galibiyet serisi olimpiyat bileti fileninsultanları
1,Olimpiyat altınımız olacak!!,1,olimpiyat altınımız olacak
2,"Keşke Fenerbahçe -Galatasaray süper kupa maçı Olimpiyat stadında oynansaydı ve Tribünlere sadece kadın ve çocuklardan oluşan seyirciler alınsaydı.

Cumhuriyetin 100.yıllına çok yakışırdı çok .",1,keşke fenerbahçe -galatasaray süper kupa maçı olimpiyat stadında oynansaydı tribünlere sadece kadın çocuklardan oluşan seyirciler alınsaydı cumhuriyetin 100 yıllına yakışırdı
3,Sacmalaama olimpiyat yılı fjejsjdj hem gui ile calismasi Ferhatta bin katt iyidir,1,sacmalaama olimpiyat yılı fjejsjdj gui calismasi ferhatta bin katt iyidir
4,"Geçen sene bilmem de bu sene yedeğe asla geçmezdi gibi Arina'nın oyunu dengesiz,  Ana nasıl dönecek belirsiz, olimpiyat senesinde iyi olurdu  ama yapacak  birşey yok artık. Umarım Eczacı da daha çok süre almaya başlar milli takımda çok ihtiyacımız var ona",1,geçen sene bilmem sene yedeğe asla geçmezdi arina'nın oyunu dengesiz ana dönecek belirsiz olimpiyat senesinde iyi olurdu yapacak yok artık umarım eczacı süre almaya başlar milli takımda ihtiyacımız var ona
5,İstanbul Olimpiyat Stadı. Adı da Cumhuriyet Kupası olmalı.,1,i̇stanbul olimpiyat stadı adı cumhuriyet kupası olmalı
6," Cumhuriyetimizin 100. yılı kutlu olsun!

 İki olimpiyat üst üste altın madalya kazanan güreşçilerimiz!

 1956 - Melbourne
 1960 - Roma

 Mustafa Dağıstanlı
 Mithat Bayrak",1,cumhuriyetimizin 100 yılı kutlu olsun i̇ki olimpiyat üst üste altın madalya kazanan güreşçilerimiz 1956 - melbourne 1960 - roma mustafa dağıstanlı mithat bayrak
7,"Olimpiyat Şampiyonumuz, Biz senden Razıyız ve Gurur Duyuyoruz ",1,olimpiyat şampiyonumuz senden razıyız gurur duyuyoruz
8,"Yaşasın cumhuriyet 
 Canım kızlarımm 
#sporlagüçlen 
@TMOK_Olimpiyat",1,yaşasın cumhuriyet canım kızlarımm sporlagüçlen tmok_olimpiyat
9,"Olimpiyat tarihinin madalyalı ilk Türk atleti: Ruhi Sarıalp https://trthaber.com/haber/spor/olimpiyat-tarihinin-madalyali-ilk-turk-atleti-ruhi-sarialp-807083.html… #trthaber via 
@trthaber",1,olimpiyat tarihinin madalyalı ilk türk atleti ruhi sarıalp https //trthaber com/haber/spor/olimpiyat-tarihinin-madalyali-ilk-turk-atleti-ruhi-sarialp-807083 html… trthaber via trthaber
10,"Şafak Yıldızları (Olimpiyat Gülleri) geri dönmüşsünüz maşallah,",1,şafak yıldızları (olimpiyat gülleri) geri dönmüşsünüz maşallah
11,"Serbest dalış dünya rekortmeni Şahika Ercümen, 2023 Dünya Güreş Şampiyonası’nda altın madalya kazanan Buse Tosun Çavuşoğlu, Dünya, Avrupa ve Olimpiyat şampiyonu milli güreşçimiz Taha Akgül yarışmacı koltuğuna oturacaklar. 
#ŞampiyonlarAtvde",1,serbest dalış dünya rekortmeni şahika ercümen 2023 dünya güreş şampiyonası’nda altın madalya kazanan buse tosun çavuşoğlu dünya avrupa olimpiyat şampiyonu milli güreşçimiz taha akgül yarışmacı koltuğuna oturacaklar şampiyonlaratvde
12,"Bu özel bölümde; Milletler Ligi Şampiyonluğu Kupası, Avrupa Şampiyonluğu Kupası ve Dünya Kupası adıyla oynanan Olimpiyat Elemelerinde kazandığı kupa olmak üzere 3 kupa birden kazanan Türkiye Kadın Milli Voleybol takımının başarılı oyuncusu Zehra Güneş,
#ŞampiyonlarAtvde",1,özel bölümde; milletler ligi şampiyonluğu kupası avrupa şampiyonluğu kupası dünya kupası adıyla oynanan olimpiyat elemelerinde kazandığı kupa olmak üzere 3 kupa birden kazanan türkiye kadın milli voleybol takımının başarılı oyuncusu zehra güneş şampiyonlaratvde
13,Biz Türküz. Biz Kut'lu bir milletiz. Biz ilelebet Türkiye Cumhuriyeti neferiyiz. Biz Cumhuriyet kadınıyız. Ve milli gururumuz Ebrar KARAKURT bizi olimpiyat altını ile onurlandıracak ,1,türküz kut'lu bir milletiz ilelebet türkiye cumhuriyeti neferiyiz cumhuriyet kadınıyız milli gururumuz ebrar karakurt bizi olimpiyat altını onurlandıracak
14,"Avrupa'nın en iyi ligleri bu hafta sonu dev maçlara ev sahipliği yapacak. Sezonun ilk El Clasico maçında Barcelona, lider Real Madrid'i Lluis Companys Olimpiyat Stadı'nda bu akşam konuk edecek. Pazar günü ise Premier Lig'de Manchester United- Manchester City ve İtalya Serie A'da…
Daha fazla göster",1,avrupa'nın iyi ligleri hafta sonu dev maçlara ev sahipliği yapacak sezonun ilk el clasico maçında barcelona lider real madrid'i lluis companys olimpiyat stadı'nda akşam konuk edecek pazar günü premier lig'de manchester united- manchester city i̇talya serie a'da… fazla göster
15,Bu karara bir Fenerbahçeli olarak sonuna kadar katılıyorum.. Cumhuriyetimizin 100. Yılında bu maç Atatürk Olimpiyat stadında oynansın...,1,karara bir fenerbahçeli olarak sonuna kadar katılıyorum cumhuriyetimizin 100 yılında maç atatürk olimpiyat stadında oynansın
16,"Serbest dalış dünya rekortmeni Şahika Ercümen, 2023 Dünya Güreş Şampiyonası’nda altın madalya kazanan Buse Tosun Çavuşoğlu, Dünya, Avrupa ve Olimpiyat şampiyonu milli güreşçimiz Taha Akgül yarışmacı koltuğuna oturacaklar.",1,serbest dalış dünya rekortmeni şahika ercümen 2023 dünya güreş şampiyonası’nda altın madalya kazanan buse tosun çavuşoğlu dünya avrupa olimpiyat şampiyonu milli güreşçimiz taha akgül yarışmacı koltuğuna oturacaklar
